裝備名稱,裝備部位,基礎ATK/DEF,基礎穩定度,屬性分類,屬性名稱,屬性值1,屬性值2,說明,(英文)裝備名稱
,,,,,stronger_against_neutral,15,,,
,,,,,weapon_range,-1,,,
,,,,obtain,type,quest,,,
,,,,,name,給誰的伴手禮？,,,
,,,,,npc,卓諾,,,
,,,,,map,索菲亞街道,,,
1周年弩槍,弩,23,50,stats,dex,1%,,,1st Anniv Bowgun
,,,,,atk,1%,,,
,,,,,physical_pierce,3,,,
,,,,,aspd,100,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,1,,,
,,,,,item_difficulty,25,,,
,,,,,potential,19,,,
,,,,,cost,10,,,
,,,,,materials,1周年銅牌#20,,,
1周年弩槍 II,弩,44,50,stats,dex,2%,,,1st Anniv Bowgun II
,,,,,atk,2%,,,
,,,,,physical_pierce,6,,,
,,,,,aspd,200,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,25,,,
,,,,,item_difficulty,50,,,
,,,,,potential,23,,,
,,,,,cost,100,,,
,,,,,materials,1周年銀牌#20,,,
1周年弩槍 III,弩,69,50,stats,dex,3%,,,1st Anniv Bowgun III
,,,,,atk,3%,,,
,,,,,physical_pierce,9,,,
,,,,,aspd,300,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,50,,,
,,,,,item_difficulty,70,,,
,,,,,potential,27,,,
,,,,,cost,1000,,,
,,,,,materials,1周年金牌#20,,,
2周年弩槍,弩,23,50,stats,dex,1%,,,2nd Anniv Bowgun
,,,,,atk,1%,,,
,,,,,physical_pierce,3,,,
,,,,,aspd,100,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,1,,,
,,,,,item_difficulty,25,,,
,,,,,potential,19,,,
,,,,,cost,10,,,
,,,,,materials,2周年銅牌#20,,,
2周年弩槍 II,弩,44,50,stats,dex,2%,,,2nd Anniv Bowgun II
,,,,,atk,2%,,,
,,,,,physical_pierce,6,,,
,,,,,aspd,200,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,25,,,
,,,,,item_difficulty,50,,,
,,,,,potential,23,,,
,,,,,cost,100,,,
,,,,,materials,2周年銀牌#20,,,
2周年弩槍 III,弩,69,50,stats,dex,3%,,,2nd Anniv Bowgun III
,,,,,atk,3%,,,
,,,,,physical_pierce,9,,,
,,,,,aspd,300,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,50,,,
,,,,,item_difficulty,75,,,
,,,,,potential,27,,,
,,,,,cost,1000,,,
,,,,,materials,2周年金牌#20,,,
2周年弩槍 IV,弩,93,50,stats,dex,4%,,,2nd Anniv Bowgun IV
,,,,,atk,4%,,,
,,,,,physical_pierce,12,,,
,,,,,aspd,400,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,75,,,
,,,,,item_difficulty,100,,,
,,,,,potential,30,,,
,,,,,cost,2000,,,
,,,,,materials,"2周年銀牌．波姆#20,金屬#100",,,
2周年弩槍 V,弩,113,50,stats,dex,5%,,,2nd Anniv Bowgun V
,,,,,atk,5%,,,
,,,,,physical_pierce,15,,,
,,,,,aspd,500,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,100,,,
,,,,,item_difficulty,125,,,
,,,,,potential,32,,,
,,,,,cost,4000,,,
,,,,,materials,"2周年金牌．波姆#20,金屬#200",,,
3周年弩槍,弩,23,50,stats,dex,1%,,,3rd Anniv Bowgun
,,,,,atk,1%,,,
,,,,,physical_pierce,3,,,
,,,,,aspd,100,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,1,,,
,,,,,item_difficulty,25,,,
,,,,,potential,19,,,
,,,,,cost,10,,,
,,,,,materials,3周年銅牌#20,,,
3周年弩槍 II,弩,44,50,stats,dex,2%,,,3rd Anniv Bowgun II
,,,,,atk,2%,,,
,,,,,physical_pierce,6,,,
,,,,,aspd,200,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,25,,,
,,,,,item_difficulty,50,,,
,,,,,potential,23,,,
,,,,,cost,100,,,
,,,,,materials,3周年銀牌#20,,,
3周年弩槍 III,弩,69,50,stats,dex,3%,,,3rd Anniv Bowgun III
,,,,,atk,3%,,,
,,,,,physical_pierce,9,,,
,,,,,aspd,300,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,50,,,
,,,,,item_difficulty,75,,,
,,,,,potential,27,,,
,,,,,cost,1000,,,
,,,,,materials,3周年金牌#20,,,
3周年弩槍 IV,弩,93,50,stats,dex,4%,,,3rd Anniv Bowgun IV
,,,,,atk,4%,,,
,,,,,physical_pierce,12,,,
,,,,,aspd,400,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,2000,,,
,,,,,materials,"3周年獎牌．波姆#20,木材#100",,,
3周年弩槍 V,弩,113,50,stats,dex,5%,,,3rd Anniv Bowgun V
,,,,,atk,5%,,,
,,,,,physical_pierce,15,,,
,,,,,aspd,500,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,3000,,,
,,,,,materials,"3周年銅牌．波姆#20,木材#150",,,
3周年弩槍 VI,弩,143,50,stats,dex,6%,,,3rd Anniv Bowgun VI
,,,,,atk,6%,,,
,,,,,physical_pierce,15,,,
,,,,,aspd,600,,,
,,,,,absolute_accuracy,2,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,4000,,,
,,,,,materials,"3周年銀牌．波姆#20,木材#200",,,
3周年弩槍 VII,弩,167,50,stats,dex,6%,,,3rd Anniv Bowgun VII
,,,,,atk,6%,,,
,,,,,physical_pierce,15,,,
,,,,,aspd,700,,,
,,,,,absolute_accuracy,4,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,5000,,,
,,,,,materials,"3周年金牌．波姆#20,木材#250",,,
憎恨弩槍,弩,159,50,stats,max_mp,100,,,Mad Sniper
,,,,,atk,5%,,,
,,,,,critical_rate,25,,,
,,,,,light_resistance,10,,,
,,,,,element_dark,1,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,135,,,
,,,,,item_difficulty,140,,,
,,,,,potential,37,,,
,,,,,cost,700,,,
,,,,,materials,"神代文字的石板#15,紫色的鰭#20,獸品#250,木材#100",,,
拱形弩,弩,44,50,stats,atk,2%,,,Arched Bowgun
,,,,,accuracy,-10%,,,
,,,,,aggro,-5,,,
,,,,,long_range_damage,1,,,
,,,,obtain,type,mobs,,,
,,,,,name,地獄獵犬,,,
,,,,,map,消失的城鎮,,,
拱形弩,弩,44,50,stats,atk,2%,,,Arched Bowgun
,,,,,accuracy,-20%,,,
,,,,,aggro,-5,,,
,,,,,long_range_damage,2,,,
,,,,obtain,type,smith,,,
,,,,obtain,type,quest,,,
,,,,,name,下酒料理,,,
,,,,,npc,卓諾,,,
,,,,,map,索菲亞街道,,,
,,,,recipe,item_level,45,,,
,,,,,item_difficulty,50,,,
,,,,,potential,23,,,
,,,,,cost,250,,,
,,,,,materials,"侵蝕的結晶#5,鐵灰色金屬板#20,金屬#80,木材#45",,,
突擊槍,弩,64,55,stats,atk,2%,,,Assault Barrel
,,,,,physical_pierce,2,,,
,,,,,critical_rate,6,,,
,,,,,short_range_damage,2,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,350,,,
,,,,,materials,"斷裂長槍#1,破碎的鋼鐵帽#5,木材#100,金屬#75",,,
,,,,,item_level,65,,,
,,,,,item_difficulty,70,,,
,,,,,potential,26,,,
突擊槍,弩,64,55,stats,atk,2%,,,Assault Barrel
,,,,,physical_pierce,1,,,
,,,,,critical_rate,6,,,
,,,,,short_range_damage,1,,,
,,,,obtain,type,mobs,,,
,,,,,name,佛波偲,,,
,,,,,map,永劫之途,,,
,,,,obtain,type,mobs,,,
,,,,,name,佛波偲,,,
,,,,,map,月之恩澤山．第1區,,,
,,,,obtain,type,mobs,,,
,,,,,name,佛波偲,,,
,,,,,map,月之恩澤山．第2區,,,
,,,,obtain,type,mobs,,,
,,,,,name,佛波偲,,,
,,,,,map,月之恩澤山．第3區,,,
蘇克雷槍砲,弩,35,50,stats,atk,2%,,,Axe Bowgun
,,,,,physical_pierce,3,,,
,,,,,short_range_damage,1,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,35,,,
,,,,,item_difficulty,40,,,
,,,,,potential,21,,,
,,,,,cost,200,,,
,,,,,materials,"裂開的棍棒#30,老鼠毛皮#20,木材#90,獸品#10",,,
蘇克雷槍砲,弩,35,50,stats,atk,1%,,,Axe Bowgun
,,,,,physical_pierce,1,,,
,,,,,short_range_damage,1,,,
,,,,obtain,type,mobs,,,
,,,,,name,獠牙精,,,
,,,,,map,薩哈姆地下洞穴．B2,,,
,,,,obtain,type,mobs,,,
,,,,,name,獠牙精,,,
,,,,,map,薩哈姆地下洞穴．B3,,,
劍槍,弩,98,50,stats,critical_rate,10,,,Bayonet
,,,,,element_fire,1,,,
,,,,,short_range_damage,4,,,
,,,,,additional_meele,40,,,
,,,,obtain,type,mobs,,,
,,,,,name,戴米鐵衛,,,
,,,,,map,巨型水晶工廠．2樓,,,
,,,,obtain,type,mobs,,,
,,,,,name,戴米鐵衛,,,
,,,,,map,巨型水晶工廠．3樓,,,
,,,,obtain,type,mobs,,,
,,,,,name,急凍蟻,,,
,,,,,map,納維達市街．十字路口（100-120）,,,
,,,,obtain,type,mobs,,,
,,,,,name,急凍蟻,,,
,,,,,map,納維達市街．西（100-120）,,,
劍槍,弩,98,50,stats,critical_rate,12,,,Bayonet
,,,,,element_fire,1,,,
,,,,,short_range_damage,4,,,
,,,,,additional_meele,50,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,95,,,
,,,,,item_difficulty,100,,,
,,,,,potential,31,,,
,,,,,cost,500,,,
,,,,,materials,"損壞的彈匣#20,強韌的觸手#20,金屬#200,藥品#50",,,
魔晶弩砲,弩,100,50,stats,atk,5%,,,Bexiz Bowgun
,,,,,accuracy,-15%,,,
,,,,,critical_damage,10,,,
,,,,,stronger_against_neutral,25,,,
,,,,obtain,type,boss,,,
,,,,,name,魔晶砲手,,,
,,,,,map,第2次馬奇史東之路．第二戰,,,
魔晶弩砲,弩,100,50,stats,atk,4%,,,Bexiz Bowgun
,,,,,accuracy,-30%,,,
,,,,,critical_damage,8,,,
,,,,,stronger_against_neutral,25,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,95,,,
,,,,,item_difficulty,100,,,
,,,,,potential,31,,,
,,,,,cost,1000,,,
,,,,,materials,"晶魔砲手的魔砲台#4,魔導核#1,金屬#600,木材#400",,,
魔晶弩砲,弩,100,50,stats,atk,4%,,,Bexiz Bowgun
,,,,,accuracy,-15%,,,
,,,,,critical_damage,8,,,
,,,,,stronger_against_neutral,25,,,
,,,,obtain,type,boss,,,
,,,,,name,魔晶砲手,,,
,,,,,map,戰士搖籃．最深處,,,
,,,,obtain,type,boss,,,
,,,,,name,魔晶砲手,,,
,,,,,map,周年慶競技場．第6會場 (EX),,,
,,,,,dye,A38,,,
弩,弩,8,50,obtain,type,smith,,,Bowgun
,,,,obtain,type,quest,,,
,,,,,name,擊退小怪,,,
,,,,,npc,芙蘭堤,,,
,,,,,map,索菲亞街道,,,
,,,,recipe,item_level,1,,,
,,,,,item_difficulty,1,,,
,,,,,potential,15,,,
,,,,,cost,5,,,
,,,,,materials,"髒汙釘子#5,木材#3",,,
路錐角標,弩,30,50,stats,dex,2%,,,Cone Horn
,,,,,max_mp,100,,,
,,,,,critical_rate,25,,,
,,,,,aggro,5,,,
,,,,,stronger_against_neutral,25,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,1,,,
,,,,,item_difficulty,10,,,
,,,,,potential,17,,,
,,,,,cost,10,,,
,,,,,materials,塑膠碎片#5,,,
路錐角標 II,弩,90,50,stats,dex,4%,,,Cone Horn II
,,,,,max_mp,200,,,
,,,,,critical_rate,50,,,
,,,,,aggro,10,,,
,,,,,stronger_against_neutral,25,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,1,,,
,,,,,item_difficulty,70,,,
,,,,,potential,26,,,
,,,,,cost,100,,,
,,,,,materials,"塑膠碎片#5,聖光書頁#1",,,
路錐角標 III,弩,180,50,stats,dex,6%,,,Cone Horn III
,,,,,max_mp,300,,,
,,,,,critical_rate,75,,,
,,,,,aggro,15,,,
,,,,,stronger_against_neutral,25,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,1,,,
,,,,,item_difficulty,130,,,
,,,,,potential,35,,,
,,,,,cost,1000,,,
,,,,,materials,"塑膠碎片#5,黑暗書頁#1",,,
可愛弩槍,弩,130,50,stats,aggro,-30,,,Cute Bowgun
,,,,,element_light,1,,,
,,,,,attack_mp_recovery,10,,,
,,,,,long_range_damage,4,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,80,,,
,,,,,materials,"神秘可可#3,可可結晶 #1,魔素#80",,,
歡樂手槍,弩,32,50,stats,max_mp,200,,,Delight Gun
,,,,,accuracy,3,,,
,,,,,element_water,1,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,10,,,
,,,,,materials,藍色包裝緞帶#30,,,
歡樂手槍 II,弩,250,50,stats,max_mp,1000,,,Delight Gun II
,,,,,accuracy,15,,,
,,,,,element_water,1,,,
,,,,obtain,type,boss,,,
,,,,,name,手工餅乾（咖啡）,,,
,,,,,map,艾爾．斯卡羅,,,
春櫻獵弩,弩,128,50,stats,dex,4%,,,Dia Bowgun
,,,,,max_mp,300,,,
,,,,,critical_damage,4,,,
,,,,,dark_resistance,10,,,
,,,,,element_light,1,,,
,,,,,long_range_damage,4,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,1000,,,
,,,,,materials,"櫻花水晶#28,潮濕的櫻樹枝#1,蝕櫻黑羽#1,木材#90",,,
,,,,,,,,,
雙管獵槍,弩,222,75,stats,aspd,-100%,,,Double Barrel
,,,,,critical_damage,10,,,
,,,,,short_range_damage,10,,,
,,,,,additional_meele,100,,,
,,,,,weapon_range,-4,,,
,,,,obtain,type,mini_boss,,,
,,,,,name,低音犛牛,,,
,,,,,map,洛庫庫平原,,,
雙弦連弩,弩,85,60,stats,atk,3%,,,Double Strings
,,,,,element_fire,1,,,
,,,,,attack_mp_recovery,4,,,
,,,,,additional_meele,100,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,85,,,
,,,,,item_difficulty,90,,,
,,,,,potential,29,,,
,,,,,cost,450,,,
,,,,,materials,"地溝結晶#4,變異的鎧甲碎片#30,木材#150,金屬#75",,,
雙弦連弩,弩,85,60,stats,atk,3%,,,Double Strings
,,,,,element_fire,1,,,
,,,,,attack_mp_recovery,4,,,
,,,,,additional_meele,50,,,
,,,,obtain,type,mobs,,,
,,,,,name,影蹤迷蠅,,,
,,,,,map,暗之城．第1區,,,
,,,,obtain,type,mobs,,,
,,,,,name,影蹤迷蠅,,,
,,,,,map,暗之城．第2區,,,
,,,,obtain,type,mobs,,,
,,,,,name,影蹤迷蠅,,,
,,,,,map,暗之城．第3區,,,
鋒利弩槍,弩,55,50,stats,critical_rate,7%,,,Edged Bowgun
,,,,,critical_damage,4%,,,
,,,,,guard_regenerate,4,,,
,,,,obtain,type,mobs,,,
,,,,,name,穆魯,,,
,,,,,map,魔法廢棄物處理廠．第1區,,,
,,,,obtain,type,mobs,,,
,,,,,name,穆魯,,,
,,,,,map,魔法廢棄物處理廠．第2區,,,
,,,,obtain,type,mobs,,,
,,,,,name,菱紋企鵝,,,
,,,,,map,納維達市街．十字路口（60-80）,,,
,,,,obtain,type,mobs,,,
,,,,,name,菱紋企鵝,,,
,,,,,map,納維達市街．西 （60-80）,,,
,,,,obtain,type,mobs,,,
,,,,,name,菱紋企鵝,,,
,,,,,map,納維達市街．東（60-80）,,,
鋒利弩槍,弩,55,50,stats,critical_rate,8%,,,Edged Bowgun
,,,,,critical_damage,4%,,,
,,,,,guard_regenerate,6,,,
,,,,obtain,type,smith,,,
,,,,recipe,cost,300,,,
,,,,,materials,"硬質剪#24,彎曲木棒#16,金屬#110,木材#40",,,
,,,,,item_level,55,,,
,,,,,item_difficulty,60,,,
,,,,,potential,24,,,
凱薩林弩弓,弩,58,50,stats,max_mp,150,,,Empress Bowgun
,,,,,atk,2%,,,
,,,,,magic_resistance,2,,,
,,,,,element_light,1,,,
,,,,,short_range_damage,1,,,
,,,,,weapon_range,-2,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,60,,,
,,,,,item_difficulty,65,,,
,,,,,potential,25,,,
,,,,,cost,650,,,
,,,,,materials,"女帝腰牌#3,女帝靈氣#1,木材#400,金屬#250",,,
凱薩林弩弓,弩,58,50,stats,max_mp,200,,,Empress Bowgun
,,,,,atk,2%,,,
,,,,,magic_resistance,6,,,
,,,,,short_range_damage,1,,,
,,,,,weapon_range,-2,,,
,,,,obtain,type,boss,,,
,,,,,name,上古女帝,,,
,,,,,map,上古女帝陵墓．最深處,,,
凱薩林弩弓,弩,58,50,stats,max_mp,100,,,Empress Bowgun
,,,,,atk,3%,,,
,,,,,magic_resistance,4,,,
,,,,,element_light,1,,,
,,,,,short_range_damage,1,,,
,,,,,weapon_range,-2,,,
,,,,obtain,type,boss,,,
,,,,,name,上古女帝,,,
,,,,,map,第1次馬奇史東之路．第一戰,,,
漂漂獸弩槍,弩,176,50,stats,physical_pierce,6,,,Fluck Bowgun
,,,,,critical_damage,12,,,
,,,,,aggro,-25,,,
,,,,,reduce_dmg_bullet,15,,,
,,,,,reduce_dmg_bowling,15,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,145,,,
,,,,,item_difficulty,150,,,
,,,,,potential,39,,,
,,,,,cost,1300,,,
,,,,,materials,"漂漂媽的腳蹼#2,漂漂獸的蛋#1,獸品#1250,木材#250",,,
漂漂獸弩槍,弩,176,50,stats,physical_pierce,3,,,Fluck Bowgun
,,,,,critical_damage,9,,,
,,,,,aggro,-75,,,
,,,,,reduce_dmg_bullet,15,,,
,,,,,reduce_dmg_bowling,15,,,
,,,,obtain,type,boss,,,
,,,,,name,漂漂媽,,,
,,,,,map,忘卻洞窟,,,
燧發叛槍,弩,130,50,stats,max_mp,500,,,Fusee Trahison
,,,,,mdef,-20%,,,
,,,,,critical_rate,8%,,,
,,,,,critical_damage,4%,,,
,,,,,stronger_against_earth,-40,,,
,,,,,element_wind,1,,,
,,,,,attack_mp_recovery,3,,,
,,,,obtain,type,boss,,,
,,,,,name,約克,,,
,,,,,map,第2次馬奇史東之路．第四戰,,,
,,,,,dye,A?B?C1,,,
燧發叛槍,弩,130,50,stats,max_mp,300,,,Fusee Trahison
,,,,,mdef,-20%,,,
,,,,,critical_rate,8%,,,
,,,,,critical_damage,4%,,,
,,,,,stronger_against_earth,-40,,,
,,,,,element_wind,1,,,
,,,,,attack_mp_recovery,5,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,115,,,
,,,,,item_difficulty,120,,,
,,,,,potential,34,,,
,,,,,cost,1200,,,
,,,,,materials,"能量核#1,魔導砲的零件#4,金屬#1000,藥品#200",,,
燧發叛槍,弩,130,50,stats,max_mp,500,,,Fusee Trahison
,,,,,mdef,-20%,,,
,,,,,critical_rate,8%,,,
,,,,,critical_damage,4%,,,
,,,,,stronger_against_earth,-40,,,
,,,,,element_wind,1,,,
,,,,,attack_mp_recovery,3,,,
,,,,obtain,type,boss,,,
,,,,,name,約克,,,
,,,,,map,巨型水晶工廠．儲存庫,,,
獵人弩槍,弩,27,60,stats,aspd,-20%,,,Hunter Bowgun
,,,,,critical_rate,12,,,
,,,,,long_range_damage,1,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,25,,,
,,,,,item_difficulty,30,,,
,,,,,potential,19,,,
,,,,,cost,150,,,
,,,,,materials,"燒完的碳#5,左茲達石材#20,木材#75",,,
獵人弩槍,弩,27,60,stats,aspd,-10%,,,Hunter Bowgun
,,,,,critical_rate,6,,,
,,,,,long_range_damage,1,,,
,,,,obtain,type,mobs,,,
,,,,,name,哥布林,,,
,,,,,map,左茲達遺跡,,,
冰弩海爾,弩,80,50,stats,atk,3%,,,Ice Gun Hail
,,,,,matk,1%,,,
,,,,,element_water,1,,,
,,,,,additional_magic,75,,,
,,,,,atk_up_int,50,,,
,,,,,atk_down_dex,100,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,80,,,
,,,,,item_difficulty,85,,,
,,,,,potential,28,,,
,,,,,cost,850,,,
,,,,,materials,"冰凍玫瑰#1,薄暮巨龍的藍翼#5,魔晶獸豪爪#3,魔素#425",,,
鐵槍砲,弩,20,50,stats,max_mp,100,,,Iron Barrel
,,,,obtain,type,smith,,,
,,,,obtain,type,quest,,,
,,,,,name,為了安全的啟航,,,
,,,,,npc,霍夫,,,
,,,,,map,索菲亞街道,,,
,,,,recipe,item_level,15,,,
,,,,,item_difficulty,20,,,
,,,,,potential,18,,,
,,,,,cost,100,,,
,,,,,materials,"石炭#6,里比可水晶#4,木材#30,金屬#20",,,
鐵槍砲,弩,20,50,stats,max_mp,70,,,Iron Barrel
,,,,obtain,type,mobs,,,
,,,,,name,哥布林（連弩）,,,
,,,,,map,里諾姆平原,,,
,,,,obtain,type,mobs,,,
,,,,,name,哥布林（連弩）,,,
,,,,,map,里比可洞窟．第1區,,,
,,,,obtain,type,mobs,,,
,,,,,name,哥布林（連弩）,,,
,,,,,map,里比可洞窟．第2區,,,
,,,,obtain,type,mobs,,,
,,,,,name,哥布林（連弩）,,,
,,,,,map,里比可洞窟．第3區,,,
,,,,obtain,type,mobs,,,
,,,,,name,哥布林（連弩）,,,
,,,,,map,里比可洞窟．最深處,,,
皇女連弩,弩,183,45,stats,atk,6%,,,Lil Empress Bowgun
,,,,,accuracy,100,,,
,,,,,critical_rate,25,,,
,,,,,aggro,-15,,,
,,,,,element_fire,1,,,
,,,,obtain,type,boss,,,
,,,,,name,薇芮娜．寇珥連生體,,,
,,,,,map,阿爾堤玫亞宮殿．皇座之殿,,,
皇女連弩,弩,183,45,stats,atk,6%,,,Lil Empress Bowgun
,,,,,accuracy,300,,,
,,,,,critical_rate,20,,,
,,,,,aggro,-10,,,
,,,,,element_fire,1,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,140,,,
,,,,,item_difficulty,145,,,
,,,,,potential,38,,,
,,,,,cost,1450,,,
,,,,,materials,"怪物皇帝的飾片#2,怪物皇帝的結晶#3,金屬#800,魔素#650",,,
魔裝狙擊槍,弩,157,40,stats,accuracy,10,,,Achti Bowgun
,,,,,aspd,-500,,,
,,,,,critical_damage,5%,,,
,,,,,aggro,-10,,,
,,,,,element_water,1,,,
,,,,,short_range_damage,-5,,,
,,,,,long_range_damage,5,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,125,,,
,,,,,item_difficulty,130,,,
,,,,,potential,36,,,
,,,,,cost,1300,,,
,,,,,materials,"損壞的魔偶之足#2,壓碎的魔偶之眼#1,金屬#1000,藥品#300",,,
魔裝狙擊槍,弩,157,40,stats,accuracy,1,,,Achti Bowgun
,,,,,aspd,-750,,,
,,,,,critical_damage,6%,,,
,,,,,aggro,-20,,,
,,,,,element_wind,1,,,
,,,,,short_range_damage,-15,,,
,,,,,long_range_damage,6,,,
,,,,obtain,type,boss,,,
,,,,,name,重裝魔偶,,,
,,,,,map,第3次馬奇史東之路．第二戰,,,
魔裝狙擊槍,弩,157,40,stats,accuracy,100,,,Achti Bowgun
,,,,,aspd,-1000,,,
,,,,,critical_damage,5%,,,
,,,,,aggro,-1,,,
,,,,,element_water,1,,,
,,,,,short_range_damage,-10,,,
,,,,,long_range_damage,5,,,
,,,,obtain,type,boss,,,
,,,,,name,重裝魔偶,,,
,,,,,map,布萊耶研究所．4號樓,,,
魔導弩槍,弩,40,55,stats,atk,2%,,,Magic Bowgun
,,,,,cspd,250,,,
,,,,,ailment_resistance,10,,,
,,,,,element_water,1,,,
,,,,,attack_mp_recovery,3,,,
,,,,obtain,type,boss,,,
,,,,,name,馬維茲,,,
,,,,,map,新月鬼殿．內室,,,
魔導弩槍,弩,40,55,stats,atk,2%,,,Magic Bowgun
,,,,,cspd,150,,,
,,,,,element_water,1,,,
,,,,,attack_mp_recovery,1,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,45,,,
,,,,,item_difficulty,50,,,
,,,,,potential,23,,,
,,,,,cost,500,,,
,,,,,materials,"馬維茲的斷棍#3,盧恩石#1,木材#450,魔素#50",,,
曼特恩磁軌砲,弩,159,50,stats,str,10%,,,Maton Railgun
,,,,,atk,5%,,,
,,,,,accuracy,20%,,,
,,,,,cspd,250,,,
,,,,,absolute_accuracy,3,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,140,,,
,,,,,item_difficulty,145,,,
,,,,,potential,38,,,
,,,,,cost,1450,,,
,,,,,materials,"破損的增幅器#2,斯魯比尼亞魔法燈#1,金屬#950,藥品#500",,,
曼特恩磁軌砲,弩,159,50,stats,str,10%,,,Maton Railgun
,,,,,atk,5%,,,
,,,,,accuracy,10%,,,
,,,,,cspd,500,,,
,,,,,absolute_accuracy,5,,,
,,,,obtain,type,boss,,,
,,,,,name,劍型曼特恩,,,
,,,,,map,通地塔．入口,,,
鋼鐵戰弩,弩,113,50,stats,max_hp,500,,,Metal Bowgun
,,,,,physical_resistance,10,,,
,,,,,magic_resistance,10,,,
,,,,,long_range_damage,4,,,
,,,,,fractional_barrier,10,,,
,,,,,barrier_cooldown,15,,,
,,,,obtain,type,mobs,,,
,,,,,name,魔像突擊者,,,
,,,,,map,路菲那斯宅邸內．入口,,,
,,,,obtain,type,mobs,,,
,,,,,name,魔像突擊者,,,
,,,,,map,路菲那斯宅邸內．走廊,,,
,,,,obtain,type,mobs,,,
,,,,,name,魔像突擊者,,,
,,,,,map,路菲那斯宅邸內．書房,,,
,,,,obtain,type,mobs,,,
,,,,,name,Cold Golem,,,
,,,,,map,諾耶莉爾城．入口（100-120）,,,
,,,,obtain,type,mobs,,,
,,,,,name,Cold Golem,,,
,,,,,map,諾耶莉爾城．2樓（100-120）,,,
鋼鐵戰弩,弩,113,50,stats,max_hp,1500,,,Metal Bowgun
,,,,,physical_resistance,5,,,
,,,,,magic_resistance,5,,,
,,,,,long_range_damage,4,,,
,,,,,fractional_barrier,10,,,
,,,,,barrier_cooldown,10,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,105,,,
,,,,,item_difficulty,110,,,
,,,,,potential,32,,,
,,,,,cost,550,,,
,,,,,materials,"伸縮電纜#20,筒狀零件#30,金屬#175,木材#100",,,
電光槍,弩,82,45,stats,element_wind,1,,,Plasma Gun
,,,,,long_range_damage,3,,,
,,,,,magical_barrier,500,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,75,,,
,,,,,item_difficulty,80,,,
,,,,,potential,28,,,
,,,,,cost,400,,,
,,,,,materials,"極光結晶#5,黑蘑菇水晶#5,金屬#175,魔素#25",,,
,,,,obtain,type,quest,,,
,,,,,name,阻撓研究,,,
,,,,,npc,研究者幽靈,,,
,,,,,map,起始庭院,,,
電光槍,弩,82,45,stats,element_wind,1,,,Plasma Gun
,,,,,long_range_damage,3,,,
,,,,,magical_barrier,250,,,
,,,,obtain,type,mobs,,,
,,,,,name,金冠悍將,,,
,,,,,map,轉生泉．中層,,,
,,,,obtain,type,mobs,,,
,,,,,name,金冠悍將,,,
,,,,,map,轉生泉．上層,,,
左輪手槍,弩,120,25,stats,aspd,-100%,,,Revolver
,,,,,critical_rate,25,,,
,,,,,element_fire,1,,,
,,,,,short_range_damage,4,,,
,,,,,weapon_range,-4,,,
,,,,obtain,type,mini_boss,,,
,,,,,name,閃靈紳士,,,
,,,,,map,消失的城鎮．廣場,,,
滑膛槍,弩,130,50,stats,dex,4%,,,Rifled Musket
,,,,,critical_damage,4%,,,
,,,,,stronger_against_neutral,25,,,
,,,,,absolute_accuracy,4,,,
,,,,obtain,type,smith,,,
,,,,recipe,item_level,115,,,
